Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age,Aged by
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
